type,name,label::English,label::Hausa,label::Kanuri,hint::English,hint::Hausa,hint::Kanuri,required,choice_filter,appearance,relevant,constraint,constraint_message::English,constraint_message::Hausa,constraint_message::Kanuri,repeat_count,calculation,default
select_one agric_inputs_barrier,agric_inputs_barrier,What are the major barriers to accessing seeds and other agric inputs?,Mine ne manyan dalilan rashin samun iri da sauran kayan aikin gonar?,Kaz?yi jilifi so turin nasha kus?nyi nattobe so kuru karewa gade bareye so fando lan?,,,,yes,,,"selected(${main_income},'agriculture') or selected(${main_income},'livestock')","not(selected(., 'no_barrier') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,agric_inputs_barrier_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${agric_inputs_barrier},'97')",,,,,,,
begin_group,f_livelihood_coping,"In the last month, did your household do any of the following things to cope with lack of income for household needs?","A cikin kwanaki 7 da suka gabata, wani daga cikin abubuwan nan ya faru a gidan ku, don magance matsalar rashin kudi/ ko saboda ba ku da halin biyan bukatun ku?   ","Kauwa 30 koz?na d?n, awowa anyiye fal nza fann?m lan t?d?na wa sau fandi baa d? g?rt? ro au m?rad?wa n?m galtim ba ro? ","For each, select if the household has done in the past 30 days, or if it CANNOT DO IT ANYMORE due to having exhausted this option","For each, select if the household has done in the past 30 days, or if it CANNOT DO IT ANYMORE due to having exhausted this option","For each, select if the household has done in the past 30 days, or if it CANNOT DO IT ANYMORE due to having exhausted this option",yes,,field-list,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_sell_assets,"1. Sell household assets/good (furniture, television, jewelry, etc.)","1. Sayar da kayan gida/kaya (Kujeru, talabijin, kayan ado ds)","1. K?nganti lado (zaye fatoye so, tibi so, zaye tiiye alamanna dinar so, gade gaps?naa.)",,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_savings,2. Spend savings,2. Kashe kudin da aka tara,2. G?nano kung?nabe yezo lan,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_nonrepro_animals,3. Sell more animals (non-productive) than usual if working in farming/herding,3. Sayar da wasu dabbobi (wadanda ba su haihuwa) ba kamar yadda aka saba ba,3. Dabba laa faida k?skeya ledo caa koz?na ro loktu bareye au s?nye t?dinno wallonoa,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_hhmember_eat_elsewhere,4. Send household members to eat elsewhere,4. Tura mutanen gidan wani wuri domin su ci abinci,4. Am fatobe na gade ro zut?g? k?mbu buwo lan,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_purchasefood_credit,5. Purchase food on credit or borrowed food,5. amsar abinci bashi ko ranto abinci,5. Kusu ro k?mbu gotin au sartin,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_borrow_money,6. Borrow money,6. Aro kudi,6. Kung?na t?g?rtin,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_depend_support,7. Depend on support from family/host family/external assistance,7. Dogaro a kan tallafin 'yan uwa/wadanda suka sauke mu//tallafi daga waje,7. Yalla/yalla rokko napt?na ma/ bana na gade menne ro t?ngaat?g?,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_sell_productive_assets,"8. Sell productive assets, or means of transport (sewing machine, agricultural machinery/vehicles, cars, bicycle, etc.)","8. Sayar da wasu kayan sana'a ko sufuri (Keken dinki, ana'urorin aikin gona, motoci, kekunan hawa ds)","8. Awo laa kung?na suwudin ledo lan, au awo k?mbaye (alamanna keke dutoye so, kare/mota bareye so, mota k?mbaye so, keke k?mbaye, gade gaps?naa)",,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_withdraw,9. Withdraw children from school,9. Cire yara daga makarantal,9. Nduli mowonti lan tulo,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_reduceexpense,10. Reduce expenditure on other services like health and education,10. rage kashe kudi a wasu bangarorin kamar lafiya da ilimi,10. Kung?na cetin ma fulu k?la lamar n?lewaye-a ilmu mataye-a yen ,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_harvest_immature,11. Harvest immature crops (green maize),11. Noma kaya masu saurin yi (kamar masara),11. Kare bareye k?li nzokta lan (alamanna masar k?li so),,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_consume_seeds,12. Consume seed stocks that were to be saved for the next season ,12. Cin irin da aka aje saboda kakar noma mai zuwa,12. Kus?nyi nattobe g?nat?na gon?m k?mbu lan,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_decreaseexpense_animalcare_fertilizer,"13. decrease expenditure on fertilizer, pesticide, animal feed, veterinary care, etc.","13. Rage kashe kudi a kan taki, da abincin dabbobi, da maganin kwari da na dabbobi ds","13. Kung?na yezo k?la taki so, kurun f?tt?ye so, k?mbu dabbaye so, dabba ro kurwun kundo so fulut? men.",,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_sell_land_property,14. Sell land or property,14. sayar da gona ko kadara,14. S?di au k?nganti ledo men,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_beg,15. Beg for money,15. barar kudi,15. Kung?na ngodot? lan,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_dangerous,"16. Engage in dangerous or illegal work/activity (incl. theft, illegal substances dealing, prostitution)","16. Shiga ayyukan da suka saba shari'a  (sata, wasu ayyukan da suka saba ka'ida, karuwanci)","16. Kundowa tajirwaa au kundowa t?raanyi so ( n?m baruwu so, kurwun waata lado so, sanya n?m kazaye so, karwanci so)",,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_sell_female,17. Sell last female (productive) animals,17. Sayar da macen dabba ta karshe mai haihuwa ,17. Dabbaa kurkuri gaps?na ma lado so ,,,,yes,,,,,,,,,,
select_one livelihoods_coping,f_livelihood_coping_child_marriage,18. Marriage of a HH member under the age of 18,18. Aurar da wata daga cikin 'yan gidan da ke da shekara kasa da 18,18. Yal fatoye saa 18 s?diyanno tam lorusa kundot? so,,,,yes,,,,,,,,,,
end_group,f_livelihood_coping,,,,,,,,,,,,,,,,,
select_one yndk,hh_debt_yn,Is your household in debt (of money?),Ko gidan ku na fama da bashin kudi?,Fann?m d? k?lan kusuwa (kung?naye) wa?,,,,yes,,,,,,,,,,
select_one cash_access,cash_access,What is your main souce of access to physical cash?,Wace hanya ce da kudi suka fi shio maku kai tsaye?,Diwalfi men fandin?m kung?nabe ishin?,DO READ CHOICES,KARANTA RA'AYOYIN,KARNOWA K?RANE,yes,,,,,,,,,,
text,cash_access_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cash_access}, '97')",,,,,,,
select_one yndk,bank,Is there a branch of a Nigeria registered bank in your community?,Ko akwai ofishin daya daga cikin bankunan Nijeriya a yankin ku?,Ngawar n?m lan fannu banki Najeriyaye ragista t?d?na ma mbeji wa?,,,,yes,,,,,,,,,,
select_one cashforlivelihoods,cashforlivelihoods,"If your household were to receive support for livelihoods, what method of support would you prefer?","Idan ace gidan ku zai samu taimakon kudi, wane irin taimako kuke bukata?","Fand?m d? bana diwal fandiye f?r?mt?ye suwondin ma ro wallono maa, futuyi men nyiye t?diya ra'am?",,Yi tambaya akan yaya suke son samun kudi,,yes,,,,,,,,,,
text,cashforlivelihoods_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cashforlivelihoods}, '97')",,,,,,,
select_one yndk,waste_management,Is there a debris or waste management collection service in your community / site?,Ko wadannan na daga cikin hanyoyin zubar da shara a yankin ku?,Nguro n?m d?n au na n?m d?gama d?n fasal ng?bdola ro cistaaye mbeji wa?,,,,,,,,,,,,,,
select_one trash_disposal,trash_disposal,What is the most common way your household disposed of garbage in the last 30 days?,Wace hanya ce mutanen gidan ku suka fi amfani wajen zubar da shara a cikin kwanaki 30 da suka wuce?,Dulufi adaatama fann?mbe ng?bdola yirtinnoye wo kauwa 30 koz?na d?n?,,,,yes,,,"selected(${waste_management},'yes')",,,,,,,
text,trash_disposal_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${trash_disposal},'97')",,,,,,,
select_one yndk,community_security_initiative,"Is there an existing COMMUNITY security initiative in your area (APART FROM Nigeria Police, Nigerian Security and Civil Defense Corps, Nigerian Immigration, and Nigerian Customs Service)?","Shin akoi kungiyar tsaro na Jama’ ar anguwa ( Banda Jami en tsaro kasa Kamar en sanda da, en Jan kwala, en tsaron shiga da fita na mutane da masu kula da shiga da fita na kaya)","Suro NGURON?M ben nz?liwoma gade mbeji wa (Police lard? Najeriya, Nigerian Security and Civil Defense Corps not?na so, Nigerian Immigration so, kuru Nigerian Customs Service so DAWUN BA RO)?",,,,yes,,,,,,,,,,
select_one access_gov,access_gov,Do you have reasonable access (within 2km) to the a) police station; b) local government authorities,"Kuna da cikakkiyar damar isa ga a) Ofishin 'yan sanda, b) ma'aikatar karamar hukuma; a cikin kilomita 2?",Duluwun?m k?la k?skeya lan (suro kilomita 2 ye lan) let? a) Folis teshonno; b) cidawu hukumaana ye mbeji wa?,,,,yes,,,,,,,,,,
end group,livelihoods,,,,,,,,,,,,,,,,,
begin group,shelter,,,,,,,,,,,,,,,,,
note,noteshelter,"For the next part, we want to ask about your shelter arrangements and about non-food items in the household.","A wannan bangaren na gaba, za mu yi tambaya a kan tsarin wurin zaman ku da kuma kayan da ba na abinci ba a gidan ku","Fellande fuuye allan, ande ye nya kore ya raayena k?la fasal fatoye-a kuru k?la karea do k?mbu ye g?nyi ma so suro fando yen.",,,,,,,,,,,,,,
select_one type_shelter,type_shelter,What type of shelter is your HH currently living in?,Wane irin gida ne kuke zaune a halin yanzu?,Am fando ye fato jiliwin kasharu k?rmaa ro?,,,,yes,,,,,,,,,,
text,type_shelter_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${type_shelter}, '97')",,,,,,,
select_one occupancy_status,occupancy_status,"

How is the shelter that your HH currently lives in occupied?",Ta yaya kuka samu inda kuke zaune yanzu?,Na k?ndaye do yallan?m k?rmaa ro surod?n dagana d? jiliwin tuwondo ?,"For this question, tell the respondent ""we are only interested in knowing your answer and will not share it with anyone else""","A kan wannan tambaya, a fadiwa mai bada amsa cewa muna so mu san amsar ne kadai kuma ba za mu fadawa wani ba","Koro ad? lan, koro zaabt? ma ro gulle ""ande jawau n?m not? kawai manye nduma ro gullen ba""",yes,,,,,,,,,,
text,occupancy_status_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${occupancy_status}, '97')",,,,,,,
select_one yndk,property_documentation,Do your HH have a property or land legal documentation?,(IDAN MALLAKIN KU NE) Ko kun mallaki shaidar mallaka a hukumance?,[ KAANDO RO WALLONO MAA) Fando ye na lan kakkadiya shara ye fato d? ye au cidi d? ye mbei ya?,,,,yes,,,"selected(${occupancy_status}, 'owned')",,,,,,,
select_one permission_squat,permission_squat,Who has granted you permission to live in this shelter?,(IDAN ZAUNE KUKE KAN IZINI) wa ya baku izinin zama a nan?,[IZUNU A RO NA D?N NJOLLAU RO WALLONO MAA ) Ndu nandiro izini na allan k?nda ye ci?,,,,yes,,,"selected(${occupancy_status}, 'squatted_w_permission')",,,,,,,
text,permission_squat_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${permission_squat}, '97')",,,,,,,
select_one yndk,rent_contract_yn,Do you have a written rental contract?,(IDAN HAYA NE) Kuna da yarjejeniyar haya a rubuce?,[AG?RIYE RO WALLONO MAA) Nandon kakkadi shada ye rooata mbei ya?,,,,yes,,,"selected(${occupancy_status}, 'rented')",,,,,,,
integer,contract_months,How long is the contract for IN MONTHS?,"Ya yanayin yarjejeniyar, ta wata nawa ce?",K?ntau ndau ye shada d? rooat??,In months,Awatanni,,yes,,,${rent_contract_yn}='yes',.<37,"You entered that this rent agreement is longer than 36 months. This seems high, please double check.","Kun shiga cewa yarjejeniyar hayar ta wuce tsawon watanni 36. Wannan alama mai girma, don Allah sau biyu.","Nyi ye ikk?mma haya k?ntau 36 koz?na ye shada diu wa Ad? zauro nguu ro rukkin, mart?ne walt?ne indi ro wune.",,,
select_one yndk,eviction_threat,Are you at risk of being evicted or forced to leave this shelter within the next month?,kana fuskantar hadarin barin gidan ko tilasta ka ka bar inda kake zaune nan da watan gobe?,Nandi a fato d?n duta au fato d? suro k?ntau bari ye lan mbu lan kolt? ye fujiwo mbei la ba?,,,,yes,,,,,,,,,,
integer,number_families_share,"How many HOUSEHOLDS, including yours, share your current accomodation? ","magidanta nawa ne, tare da kai, ke rayuwa a gidan da kuke yanzu?","Yalla ndau, kaan?mme daunna ro suro k?nda ram ad? yen kasharu?",A household unit is defined as consisting of one head of household and all individuals residing within the boundaries of the household sharing income and food – including family and non-family members,"Ko wane rukunin gida ana daukar sa a matsayin da shugaba da sauran mutanen da ke gidan, wadanda ke tarayya a kudaden shiga da abinci - har ma da haifaffun gida da wadanda ba nan aka haife su ba.",Yalla d? gulti ya suro d?n mbei kam kura fatoye kuru cidiyanz?n am fatoye gabs?na kasharu ndikatenzan fandinza-a k?mbunza-a yeksain_ am fatoye-a am fatoye g?nyi a samma son.,yes,,,,.<15,,,,,,
select_one yndk,damage_status,Is your shelter damaged?,Ko mazaunin ku ya lalace?,Fando d? bannaata wa?,"Must observe and see the shelter before answering, not just take the respondents answer. ","Dole a kula da yanayin gidan, kafin bada amsa, ba wai kawai a rubuta abun da mai bada amsa ya ce ba","Fato d? ng?la ro rum do kau jawau d? ikk?min ro, koro zaabt?ma ye jawau d? bas gon?m ba. ",yes,,,"not(selected(${type_shelter},'open_space') or selected(${type_shelter},'97') or selected(${type_shelter},'98') or selected(${type_shelter},'99'))",,,,,,,
select_multiple damage_causes,damage_causes,What is the cause of the damage?,Wace babbar lalacewa gidan na ku ya yi?,Ai dalil kura do fato daa bannaz?na d??,,,,yes,,,"selected(${damage_status}, 'yes')",,,,,,,
text,damage_causes_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${damage_causes}, '97')",,,,,,,
select_one damage_severity,damage_severity,What is the severity of the damage to the shelter overall?,Wace irin illa lalacewar ta janyo a gidan?,Ai yeyi n?m kura banna d? ye d? samma so?,,,,yes,,,"selected(${damage_status}, 'yes')",,,,,,,
text,damage_severity_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${damage_severity}, '97')",,,,,,,
select_multiple needs_items,needs_items,What are the non-food items that your HH does not have and that it NEEDS?,"Wadannan irin kaya ne da ba na abinci ba, wanda gidan ku ke bukata kuma ba ku da su?",Ai so karea k?mbu ye g?nyi do fann?min ba kuru M?RAD?T?NA ma so d??,DO READ CHOICES.,A KARANTA DUKKAN ZABIN,KARNO SAMMA K?RA NE,yes,,,,"not(selected(., 'none') and count-selected(.)>1)","Cannot select ""none"" and another answer ",,,,,
select_one cashforshelter,cashforshelter,"If your household were to receive support for shelter, what method of support would you prefer?","Idan har gidan ku zai samu taimakon matsugunni, wane taimako kuka fi bukata?","Fann?m ro bana na k?nda ye sadin maa, bana jiliwi gon?min?",,,,yes,,,,,,,,,,
text,cashforshelter_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cashforshelter}, '97')",,,,,,,
end group,shelter,,,,,,,,,,,,,,,,,
begin group,assistance,,,,,,,,,,,,,,,,,
note,noteassistance,"This last section is on humanitarian assistance. We want to know about your experiences with receiving assistance, with aid providers and your preferences in the future.","A wannan mataki na karshe, za mu maida hankali kan samun agaji, da harsuna da sadarwa. Za mu so mu san yadda kuke samun tallafi daga masu bada agaji, da kuma abun da kuke sa rai a nan gaba","Sana dareye d? k?la t?lemwa-a, lamar kawulit?g?ye-a yen t?din. Not?n?m k?la futu bana cidawu cida kanjimaliye sadin yen fand?minye nonyeya ra'ayen kuru futu fuwu lan t?diya m?rad?n?ma d?n kunten.",,,,,,,,,,,,,,
select_multiple aid_info_want,aid_info_types,What type of information would you like to receive from aid providers? Please choose top 3,Wane irin bayanai kuke so ku samu daga masu bada agaji? A zabi kwarara guda uku,Na cidawu bana kanjimaliye sadin d? ben kawuli jilifi fand?miya ra'am? Sandi 3 dano ma d? kart?,,Zabi guda uku kwararun labarin da ake bukata,,yes,,,,"count-selected(.)<=3 and not(selected(., 'no_info') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,aid_info_types_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_info_types}, '97')",,,,,,,
select_multiple aid_source_pref,aid_prefwho,Who do you trust the most to provide you with reliable information? Please choose top 3,Wa ka yarda da shi da zai iya baku labarin gaskiya? A zabi kwarara guda uku,Ndu nyiye kasann?m hawar jireye nyi ro kudo lan? Mart?ne yakk? zau ro dano d? karne,,Zabi guda uku kwararun kaffar sada labarin da ake bukata,,yes,,,"not(selected(${aid_info_types}, 'no_info'))","count-selected(.)<=3 and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,aid_prefwho_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_prefwho}, '97')",,,,,,,
select_multiple aid_mode,aid_prefmode,What means of receiving information do you trust the most? Please choose top 3,Wace hanyar samun bayanai ce ka fi gasgatawa. Zabi kwarara uku,Diwalfi hawar fando ro kasann? ma dano wo? Mart?ne yakk? zau ro dano d? karne,,Zabi guda uku kwarwran hanyan samun labari mafi soyuwa,,yes,,,"not(selected(${aid_info_types}, 'no_info'))","count-selected(.)<=3 and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,aid_prefmode_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_prefmode}, '97')",,,,,,,
select_multiple aid_feedback,aid_feedbacks,"How would you prefer to provide feedback to aid providers about the quality, quantity and appropriateness of the aid you have or will receive?","Ta yaya kuke son bada amsa kan yadda kuke amsar tallafi, yanayin sa, dacewar sa, yawan sa?",Jilifi men nyiye jawau kalakk?g?miya ra'am cidawu cida kanjimaliye kundoma so ro k?la n?m ngalwo cida t?dinne-a n?m k?z?pk?-a kuru futu cida d? kakkal ro nyi ro t?dinne-a lan?,,,,yes,,,,"not(selected(., 'no_feedback') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,aid_feedbacks_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_feedbacks}, '97')",,,,,,,
select_one languages,aid_languages,What is the main language you speak at home?,Wane yare ne kuka fi magana da shi a gida?,T?lam jilifi dano wo nyiye faton manan?min?,Please only select the main one,,,yes,,,,,,,,,,
text,aid_languages_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_languages},'97')",,,,,,,
select_one languages,aid_lang_written,What language do you prefer to receive written information in?,A cikin wane yare kuka fi bukatar samun bayanai a rubuce?,T?lamfi men nyiye kawuli ruu men fand?miya ra'am?,,,,yes,,,,,,,,,,
text,aid_lang_written_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_lang_written},'97')",,,,,,,
select_one languages,aid_lang_spoken,What language do you prefer to receive spoken information in?,Wane harshe ne kuka fi son ku samu bayanai a baki?,T?lamfi men kamuli ciye fand?miya ra'am?,,,,yes,,,,,,,,,,
text,aid_lang_spoken_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_lang_spoken},'97')",,,,,,,
select_one fluency,aid_hausa_spoken,How well do you speak Hausa?,Ya yanayin jin hausar ka yake?,Abi yayi n?m ngalwo t?lam Hausaye fant?n?m wo?,,,,yes,,,,,,,,,,
select_one fluency,aid_hausa_read,How well do you read Hausa?,Ya yanayin karatun hausar ka yake?,Abi yayi t?lam Hausaye men ruu k?ran?m?,,,,yes,,,,,,,,,,
select_one yndk,aid_access_phone,Does your household own a cell phone?,Kuna da wayar sadarwa a gidan ku,Fann?m lan waya manaye mukkoye mbeji wa?,,,,yes,,,,,,,,,,
select_multiple network,aid_access_network,Which network do you use?,Wane layin sadarwa kuke amfani da shi?,Lai wayaye jilifi faidat?min?,,,,yes,,,"selected(${aid_access_phone},'yes')",,,,,,,
text,aid_access_network_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,,,,"selected(${aid_access_network},'97')",,,,,,,
select_one yndk,aid_access_internet,Do you access the internet or social media on your cell phone?,Kuna amfani da internet ko shafukan sada zumunta a wayar ku?,Wayan?m men rang?m intanet au farask?ram tamtamye (alamanna facebook so) dimin wa?,,,,yes,,,"selected(${aid_access_phone},'yes')",,,,,,,
select_one yndk,aid_access_radio,Does your household own a radio?,Kuna da Radio a gidan ku?,Fann?m yen radiyo mbeji wa?,,,,yes,,,,,,,,,,
select_multiple radio,aid_radio,Which stations do you listen to?,Wace tasha kuka fi sauraro?,Tasha radiyoye ndaso k?r?nn?min?,,,,yes,,,"selected(${aid_access_radio},'yes')",,,,,,,
text,aid_radio_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,,,,"selected(${aid_radio},'97')",,,,,,,
select_multiple radio_time,aid_radio_time,What time of the day do you listen to the radio? Select all that apply,Wane lokaci kuka fi sauraron radio? A zabi dukkan wadanda suka dace,Loktufin radiyo d?ga k?r?nn?min? Awo sand?na d? karne,,,,yes,,,"selected(${aid_access_radio},'yes')",,,,,,,
select_one yndk,aid_receive,"Has your household received any assistance in the past 6 months, from any sources?",Ko kun samu tallafi da ga wasu a cikin watanni 6 da suka wuce?,K?ntauwa 6 koz?na allan fann?m bana laa suwond?na wa?,Since approximately the beginning of this year 2019,Akalla daga farkon shekarar 2019,Taadir badiyaram saa 2019 yen,yes,,,,,,,,,,
select_multiple aid_source,aid_sources,What was the source of that assistance?,Daga ina tallafin ya zo,Diwalfi men bana d?ga tuwondin?,,,,yes,,,"selected(${aid_receive},'yes')","not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,aid_sources_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_sources}, '97')",,,,,,,
select_multiple aid_type,aid_types,What was the type or types of assistance was received?,Wane irin tallafi kuka samu?,Bana jilifi so t?din?,,,,yes,,,"selected(${aid_receive},'yes')","not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,aid_types_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_types}, '97')",,,,,,,
select_one aid_modality,aid_modality,What was the MAIN modality of the assistance received?,Yaya tsarin tallafin yake?,Futuyi men bana d? t?din?,,,,yes,,,"selected(${aid_receive},'yes')",,,,,,,
text,aid_modality_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_modality},'97')",,,,,,,
select_one yndk,aid_satis_yndk,Was the aid you received appropriate to your needs or the needs of the community?,"Ko tallafin da kuke samu ya dace da gidan ku, ko al'ummar ku",Bana fann?m men fand?min d? m?rad?wan?m ma kakkalz?na wa au m?rad? nguro d? bea kakkalz?na wa?,Since approximately the beginning of this year 2019,Akalla daga farkon shekarar 2019,Taadir badiyaram saa 2019 yen,yes,,,"selected(${aid_receive},'yes')",,,,,,,
select_one yndk,aid_satis_workers,Did you feel you were treated with respect by aid workers?,Kuna ganin kuna samun girmamawa daga jami'an bada agaji?,Nya cidawu cida kanjimaliye kundoma anyi darajazana ro wa fan?min?,Since approximately the beginning of this year 2019,Akalla daga farkon shekarar 2019,Taadir badiyaram saa 2019 yen,yes,,,"selected(${aid_receive},'yes')",,,,,,,
select_one yndk,aid_safe,Did you feel safe while receiving assistance?,Kuna samun natsuwa a lokacin da kuke amsar tallafi?,Nz?liwot?ma ro wa fan?min sa bana d?ga moomin d??,"Point of service/distribution can refer to any place where they can access humanitarian aid, or receive distributions",Wurin bada agaji wuri ne da za a iya samun agaji ko amsar kayan tallafi,"Nasha cidabe/samt?ye d? shima nda yayi na do cida kanjimaliye tuwondin ma au, samt?la tuwondin ma wo",yes,,,"selected(${aid_receive},'yes')",,,,,,,
text,aid_safe_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_safe}, '97')",,,,,,,
select_one yndk,aid_excluded,Was anyone excluded from the assistance?,Kuna ganin akwai wadanda ba sa samun tallafin da ya dace a cikin gidan/garin ku?,Nyiye kurun?m d?n am laa suro fatoyen au nguroyen ngait?na wa bana kunjo d?n?,,,,yes,,,"selected(${aid_receive},'yes')",,,,,,,
select_multiple excluded,aid_excluded_who,"If yes, who was mainly excluded?",Wane ne bai samu?,Ndu le ngait??,,,,yes,,,"selected(${aid_excluded},'yes')","not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,aid_excluded_who_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${aid_excluded_who}, '97')",,,,,,,
select_one yndk,aid_concern,Have you or anyone you know in your community ever raised any concerns on the assistance you received?,"A cikin gida/garin ku, akwai wanda ya taba nuna damuwa kan irin tallafin da kuke samu?",Ngalte yaye fann?min au au kam laa nguroye buruwun nz? k?la bana t?din d? ben haps?g?na wa?,,,,yes,,,"selected(${aid_receive},'yes')",,,,,,,
select_one concernresponse,aid_concern_response,"If yes, were you satisfied with the response you received from aid workers on your concern?","Idan haka ne, kun samu gamsuwa da amsar da kuka samu daga jami'an bada agaji a kan damuwar da kuka nuna?","Na'am aa'a ro wallono maa, jawau fand?min au kam laaye suro nguro yen na cidawu cida kanjimaliye kundoma yen tuwondin ma k?la buruwayen d? ardin?ma wa?",,,,yes,,,"selected(${aid_concern}, 'yes')",,,,,,,
select_one yndk,aid_asked,"In the last 6 months, have you or leaders in your community been asked about what aid you have received or would like to receive?","Awatanni shida 6 da suka wuce, shin an tambaya ka/ki  akan wacce irin taimako ku ke son a kawo mu?",Ngalte yaye fann?mma k?la bana jilifi ra'ama t?dinnen tor?na wa au kazaa dala nguroye d?ga tor?na wa?,Since approximately the beginning of this year 2019,Akalla daga farkon shekarar 2019,Taadir badiyaram saa 2019 yen,yes,,,,,,,,,,
end group,assistance,,,,,,,,,,,,,,,,,
begin group,needs,,,,,,,,,,,,,,,,,
note,noteneeds,"Finally, we want to understand better what is the main priority need of your household.","Akarshe, muna son sannin taimako kwarara guda uku da ku ke bukata a gidan ku.","Finally, we want to understand better what is the main priority need of your household.",,,,,,,,,,,,,,
select_one needs,need1,What do you think is the main priority need for your household overall?,Mine ne kuke tunanin shi ne babbar bukatar gidan ku?,Junla ro abi m?rad?t?na dano wo suro fann?mmen?,,,,yes,,,,,,,,,,
text,needs1_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${need1}='97',,,,,,,
text,comment,Do you have any final comment on your situation and needs?,kuna da wani sharhi kan  yanayin ku ko bukatun ku?,Kawuli n?m laa gade mbeji wa k?la lamar ad? ben-a m?rad?a yen-a ?,,,,,,,,,,,,,,
end group,needs,,,,,,,,,,,,,,,,,
end group,interview_enter2,,,,,,,,,,,,,,,,,
end group,interview_enter1,,,,,,,,,,,,,,,,,
